Name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,Known_Allergen
CAA265751PutativeGlycininA2B1asubunitlikeGlycinemax,6.189,1.875,3.188,6.939,4.126,6.751,0.75,4.313,3.563,7.127,1.5,7.502,4.876,9.565,5.439,6.001,3.376,5.064,0.75,2.063,0.579,0.635,0.458,0.247,0.13,0.507,0.44,0.423,0.198,0.274,0.059,0.719,0.565,0.524,0.258,0.112,0.067,0.056,0.469,0.466,0.141,0.301,0.158,0.225,0.558,0.404,0.434,0.118,0.12,0.085,1
CAA267231PutativeGlycininlikeGlycinemax,5.406,2.051,2.983,7.457,4.287,7.084,1.491,4.847,4.66,6.897,1.305,6.897,5.22,8.948,5.033,6.711,3.728,4.474,0.746,2.051,0.504,0.642,0.298,0.28,0.309,0.455,0.527,0.515,0.417,0.164,0.036,0.717,0.417,0.366,0.284,0.023,0.1,0.124,0.239,0.402,0.152,0.054,0.17,0.017,0.587,0.581,0.395,0.146,0.021,0.034,1
CAA332171AllergenGlym6glycinin11SglobulinGlycinemax,5.753,2.109,3.068,7.287,5.561,6.137,1.151,4.602,3.644,6.904,1.151,6.904,5.561,9.397,5.561,6.52,3.452,4.986,0.575,1.918,0.714,0.742,0.413,0.4,0.125,0.394,0.407,0.433,0.428,0.193,0.026,0.442,0.3,0.34,0.259,0.039,0.015,0.168,0.355,0.379,0.154,0.05,0.144,0.128,0.643,0.449,0.458,0.288,0.012,0.099,1
CAA370441PutativeglycininGlycinemax,3.547,1.388,4.935,8.483,2.622,5.707,2.314,3.085,4.319,6.941,0.463,4.935,5.861,8.02,5.552,6.941,3.085,5.244,0.925,2.314,0.443,1.025,0.113,0.013,0.123,0.944,0.707,1.152,0.032,0.394,0.223,0.763,0.871,1.028,0.257,0.072,0.226,0.413,0.412,1.093,0.152,0.244,0.052,0.117,0.96,1.088,0.139,0.218,0.232,0.268,1
CAA426461AllergenGlym4pathogenesisrelatedproteinPR10Betv1llikeproteinGlycinemax,10.939,0,7.292,7.9,4.254,9.116,1.215,4.862,9.723,7.9,0.608,4.862,4.862,0.608,0,4.862,6.685,6.685,0,3.646,0.632,0.393,0.868,0.002,0.024,0.23,0.106,0.293,1.575,0.151,0.105,1.039,0.06,0.097,1.353,0.045,0.284,0.496,0.187,0.231,0.742,0.298,0.022,0.223,0.2,0.08,1.004,0.075,0.395,0.087,1
CAA457771PutativetrypsininhibitorsubtypeAGlycinemax,5.732,2.205,7.496,6.173,6.173,7.496,1.323,7.055,5.732,8.377,1.323,4.409,4.85,2.205,4.409,7.055,4.409,6.173,0.882,2.205,0.367,0.377,0.355,0.203,0.202,0.078,0.202,0.493,0.181,0.184,0.16,0.087,0.041,0.306,0.021,0.102,0.173,0.058,0.037,0.16,0.447,0.078,0.162,0.389,0.093,0.18,0.213,0.089,0.035,0.135,1
CAA457781PutativetrypsininhibitorsubtypeBGlycinemax,5.717,2.199,7.916,5.717,6.597,7.476,0.88,7.476,5.717,7.476,0.88,4.398,4.398,2.199,4.838,7.036,4.838,7.036,0.88,1.759,0.16,0.331,0.461,0.085,0.114,0.168,0.303,0.566,0.296,0.291,0.096,0.128,0.042,0.275,0.076,0.113,0.055,0.078,0.016,0.209,0.322,0.246,0.078,0.594,0.183,0.221,0.121,0.208,0.095,0.102,1
CAA398801AllergenHevb1rubberelongationfactorHeveabrasiliensis,11.278,0,5.639,4.229,4.229,7.049,0,6.344,5.639,7.049,0.705,4.229,6.344,4.934,2.819,7.754,4.229,10.573,0,4.229,0.041,0.408,0.457,0.176,0.496,0.183,0.827,0.506,0.855,0.028,0.31,0.13,0.06,0.183,0.307,0.316,0.316,0.32,0.271,0.076,0.836,0.42,0.151,0.134,0.547,0.417,1.38,0.27,0.106,0.26,1
CAA419561AllergenalphaamylaseinhibitorHordeumvulgaresubspvulgare,9.247,6.165,4.315,3.699,1.849,6.781,1.849,2.466,3.082,8.014,1.233,1.849,8.014,4.315,5.548,5.548,4.315,6.781,0.616,3.082,0.408,0.204,1.016,0.323,0.709,0.55,0.297,0.076,0.765,0.639,0.374,0.502,0.142,0.321,1.106,0.287,0.345,0.277,0.741,0.604,0.77,0.374,0.654,0.445,0.352,0.034,1.578,0.109,0.544,0.246,1
CAA450851AllergenHorv15alphaamylasepartialHordeumvulgaresubspvulgare,8.658,6.66,4.662,3.996,1.332,9.324,0,3.33,2.664,3.996,3.996,2.664,7.326,5.328,5.328,7.992,3.33,9.324,2.664,4.662,0.417,0.327,0.878,0.17,0.152,0.421,0.485,0.513,0.807,0.241,0.703,0.163,0.411,0.128,0.246,0.466,0.562,0.065,0.012,0.033,0.537,0.474,0.607,0.016,0.056,0.145,0.8,0.387,0.511,0.322,1
CAA467051AllergenCMeHordeumvulgaresubspvulgare,10.629,6.252,3.126,3.751,2.501,6.252,1.876,3.751,1.876,9.378,2.501,2.501,6.252,5.002,5.627,5.627,5.002,5.627,0.625,4.376,0.362,0.2,0.401,0.629,0.016,0.007,0.228,0.052,0.245,0.594,0.224,0.102,0.613,0.108,0.258,0.094,0.439,0.003,0.451,0.185,1.125,0.244,0.274,0.348,0.506,0.271,0.293,0.114,0.57,0.277,1
CAA428321PutativeLTP1Hordeumvulgare,9.674,5.528,3.455,2.073,0.691,6.219,2.073,4.146,3.455,9.674,2.764,6.91,4.837,4.146,5.528,8.292,3.455,8.292,0,1.382,0.314,0.009,0.808,0.087,0.088,0.33,0.048,0.282,1.108,0.329,0,0.272,0.038,0.042,0.683,0.206,0.201,0.029,0.942,0.399,1.097,0.191,0.349,0.628,0.35,0.394,1.063,0.334,0.2,0.035,1
CAA380971AllergenRicc12SalbuminRicinuscommunis,4.769,5.869,2.934,8.803,1.834,6.236,0.734,5.135,2.568,5.502,1.834,2.568,2.568,16.14,9.17,8.803,3.301,4.402,0,1.467,0.126,0.249,0.129,0.228,0.196,0.236,0.041,0.096,0.267,0.293,0.141,0.417,1.215,1.05,0.223,0.052,0.11,0.256,1.294,0.841,0.363,0.007,0.392,0.729,0.796,0.78,0.196,0.001,0.638,0.263,1
CAA315751AllergenpatatinB2AA1386Solanumtuberosum,9.248,0.487,4.868,5.841,4.381,5.354,1.947,5.111,5.841,9.978,2.921,4.381,3.894,3.164,2.677,7.058,7.788,4.624,0.487,3.894,0,0.098,0.876,0.183,0.231,0.346,0.054,0.084,0.245,0.122,0.289,0.075,0.47,0.382,0.403,0.293,0.138,0.215,0.19,0.226,0.542,0.074,0.003,0.279,0.359,0.315,0.444,0.346,0.061,0.203,1
CAA275711AllergenpatatinSolanumtuberosum,9.324,0.245,5.644,5.153,4.907,5.398,0.736,4.907,6.625,9.569,2.699,4.171,3.435,3.435,1.963,7.361,10.06,4.662,0.491,3.926,0.082,0.155,0.877,0.201,0.061,0.213,0.003,0.184,0.382,0.135,0.108,0.139,0.387,0.322,0.368,0.24,0.086,0.19,0.071,0.225,0.585,0.085,0.075,0.243,0.354,0.22,0.564,0.352,0.091,0.121,1
CAA275881AllergenpatatinSolanumtuberosum,9.229,0.486,5.1,5.343,4.614,5.586,1.943,5.1,5.343,9.715,2.672,4.129,3.886,3.4,2.672,7.043,8.5,4.614,0.486,3.886,0.072,0.073,0.882,0.233,0.193,0.347,0.08,0.125,0.269,0.126,0.236,0.042,0.401,0.326,0.433,0.27,0.166,0.069,0.182,0.224,0.605,0.011,0.005,0.364,0.379,0.352,0.547,0.326,0.064,0.263,1
CAA352381AllergenAlphabetagliadinlikeproteinproductTriticumaestivum,3.725,1.863,0.31,1.552,3.104,2.173,1.242,4.967,0.621,7.761,0.621,1.863,14.901,32.596,1.863,4.967,2.173,4.967,0.31,3.725,0.411,0.037,0.251,0.091,0.792,0.136,0.292,0.01,0.252,0.063,1.06,0.047,0.066,0.149,0.138,0.097,0.207,0.072,0.153,0.154,0.463,0.056,0.811,0.138,0.689,0.125,0.039,0.181,0.83,0.038,1
CAA355981AllergenAlphaamylaseinhibitorlikeproteinproductTriticumaestivum,8.1,6.231,3.738,3.738,1.869,6.854,1.869,3.738,2.492,7.477,1.869,3.115,6.854,2.492,5.608,8.723,4.985,6.854,0,3.738,0.657,0.394,0.877,0.366,0.682,0.78,0.024,0.192,0.659,0.439,0.527,0.111,0.313,0.389,0.669,0.059,0.133,0.449,0.553,0.541,0.579,0.245,0.704,0.004,0.918,0.247,1.479,0.133,0.315,0.955,1
CAA424531AllergenTria40alphaamylaseinhibitorTriticumaestivum,6.597,6.597,1.319,6.597,3.298,4.618,0.66,3.298,1.979,9.236,3.958,5.278,9.236,5.937,3.958,5.278,5.937,5.278,1.319,3.958,0.422,0.358,0.28,0.597,0.153,0.066,0.489,0.304,0.105,0.744,0.991,0.031,0.388,0.005,0.014,0.19,0.256,0.22,0.237,0.111,0.102,0.002,0.056,0.582,0.363,0.09,0.334,0.172,0.153,0.073,1
CAA355971AllergenTria30alphaamylaseinhibitorTriticumaestivum,8.963,6.722,2.241,3.921,2.241,5.602,1.12,3.361,2.241,12.324,1.681,2.241,8.403,5.042,4.482,8.403,3.361,6.722,1.681,3.361,0.044,0.292,1.279,0.411,0.156,0.278,0.106,0.15,0.933,0.377,0.567,0.121,0.196,0.104,0.488,0.174,0.293,0.113,0.432,0.41,0.82,0.196,0.236,0.172,0.409,0.096,1.142,0.148,0.516,0.19,1
CAA433311Allergenhighmolecularweightgluteninsubunit1Ax1Triticumaestivum,2.949,0.472,0.708,2.831,0.236,17.221,0.472,0.472,0.708,5.19,0.236,0,11.559,33.263,2.359,7.077,3.303,2.005,1.062,5.78,0.047,0.239,0.263,0.117,0.769,0.167,0.028,0.016,0.138,0.167,1.059,0.192,0.64,0.016,0.819,0.152,1.128,0.296,0.042,0.031,0.021,0.034,0.227,0.121,0.05,0.089,0.642,0.229,0.717,0.199,1
CAA313961Allergenhighmolecularweightgluteninsubunit10Triticumaestivum,4.48,1.081,0.618,2.626,0.463,17.455,2.008,0.772,1.236,4.325,0.618,0,10.658,31.821,2.163,6.488,4.016,3.089,0.927,5.252,0.075,0.154,0.142,0.173,0.535,0.064,0.203,0.031,0.082,0.276,1.451,0.215,0.464,0.022,0.616,0.353,0.96,0.101,0.202,0.067,0.016,0.065,1.073,0.09,0.032,0.051,1.016,0.145,0.42,0.137,1
CAA255931AllergenAlphabetagliadinlikeproteinproductTriticumaestivum,3.69,2.012,0.335,1.677,4.025,2.348,1.677,5.031,1.006,9.392,1.006,2.012,13.752,30.522,1.677,4.696,3.019,4.696,0.335,3.019,0.348,0.003,0.238,0.133,0.641,0.241,0.237,0.013,0.28,0.132,0.738,0.046,0.22,0.263,0.072,0.264,0.325,0.024,0.182,0.082,0.4,0.119,0.883,0.102,0.693,0.077,0.085,0.14,0.145,0.248,1
CAA263831AllergenGliadinlikeproteinproductTriticumaestivum,4.216,1.946,0.324,0.973,3.892,2.27,1.622,4.865,0.324,7.135,0.649,2.27,16.215,31.457,2.27,4.54,3.243,4.54,0.324,2.919,0.433,0.125,0.245,0.055,0.752,0.099,0.151,0.081,0.315,0.124,0.993,0.006,0.065,0.191,0.09,0.183,0.278,0.003,0.081,0.236,0.48,0.177,0.948,0.103,0.585,0.031,0.066,0.069,0.514,0.121,1
CAA263841AllergenGliadinlikeproteinproductTriticumaestivum,3.679,2.007,0.334,1.672,4.013,2.341,2.007,5.016,0.669,9.03,1.003,2.341,13.377,30.767,1.672,4.682,3.01,4.682,0.334,3.01,0.353,0.026,0.215,0.137,0.569,0.269,0.265,0.045,0.264,0.053,0.64,0.027,0.229,0.265,0.068,0.23,0.4,0.023,0.2,0.089,0.399,0.089,0.917,0.101,0.729,0.108,0.067,0.108,0.238,0.236,1
CAA263851AllergenGliadinlikeproteinproductTriticumaestivum,4.303,1.844,0.307,1.229,3.688,1.537,1.844,4.303,0.615,7.991,1.229,2.152,13.217,35.347,1.537,5.225,3.074,4.303,0,2.459,0.582,0.13,0.108,0.009,0.484,0.222,0.193,0.038,0.179,0.023,0.486,0.053,0.016,0.08,0.24,0.062,0.405,0.027,0.06,0.233,0.566,0.076,0.97,0.146,0.722,0.052,0.11,0.105,0.384,0.097,1
CAA316851PutativeLMWgluteninlikeproteinproductTriticumaestivum,4.552,2.601,0,1.626,4.552,2.926,0.975,4.877,0.65,8.779,2.276,0.65,12.681,31.541,2.601,7.154,3.577,5.853,0.65,1.301,0.662,0.032,0.126,0.316,0.162,0.039,0.36,0.171,0.327,0.094,0.498,0,0.347,0.044,0.47,0.038,0.064,0.229,0.259,0.149,0.213,0.174,0.155,0.077,0.206,0.022,0.111,0.093,0.39,0.305,1
CAA268471AllergenHMWgluteninlikeproteinproductTriticumaestivum,4.563,1.065,0.608,2.586,0.456,17.645,1.977,1.217,1.369,4.411,0.761,0,10.496,32.096,1.977,6.389,3.803,2.89,0.913,5.172,0.106,0.162,0.086,0.164,0.544,0.044,0.263,0.055,0.104,0.296,1.435,0.248,0.433,0.031,0.552,0.309,0.955,0.129,0.257,0.04,0.128,0.057,1.045,0.07,0.055,0.049,0.954,0.154,0.507,0.127,1
CAA305701PutativeLMWgluteninlikeproteinproductTriticumaestivum,4.224,2.253,0,1.127,5.069,1.971,1.127,5.069,0.563,6.196,1.69,0.845,12.955,38.583,2.253,7.886,2.535,4.224,0,1.69,1.05,0.026,0.145,0.202,1.326,0.126,0.12,0.106,0.384,0.373,0.956,0.152,0.014,0.082,0.371,0.046,1.246,0.067,0.095,0.003,0.139,0.032,1.103,0.169,0.075,0.034,0.259,0.005,0.999,0.235,1
CAA249341AllergenHMWgluteninlikeproteinproductTriticumaestivum,22.113,2.457,2.457,4.914,0,4.914,2.457,0,4.914,14.742,2.457,0,2.457,12.285,4.914,7.371,0,7.371,0,0,1.783,1.215,1.273,0.025,0.653,0.307,0.408,0.635,0.777,0.442,0.401,0.05,0.288,0.627,0.027,0.79,1.226,0.722,1.435,1.018,0.775,0.511,0.035,0.337,1.161,0.947,2.267,0.09,0.255,0.543,1
CAA347091PutativeprecursorAA24to119Triticumturgidumsubspdurum,8.032,7.363,2.677,5.355,2.008,4.685,0.669,4.016,2.008,9.371,4.016,3.347,8.032,6.693,4.685,6.693,5.355,6.024,1.339,3.347,0.237,0.131,0.487,0.44,0.692,0.293,0.237,0.009,0.151,0.533,1.043,0.028,0.462,0.117,0.203,0.113,0.126,0.273,0.039,0.086,0.366,0.114,0.166,0.13,0.377,0.039,0.595,0.148,0.187,0.006,1
CAA390991AllergenCM2proteinTriticumturgidumsubspdurum,7.381,6.151,3.691,3.691,1.845,7.996,2.46,2.46,2.46,7.381,1.845,3.075,7.996,2.46,4.921,6.151,5.536,7.996,0,3.691,0.654,0.329,0.976,0.428,0.639,0.986,0.099,0.314,0.901,0.668,0.434,0.035,0.427,0.422,0.835,0.093,0.233,0.443,0.6,0.625,0.425,0.13,0.918,0.179,0.917,0.297,1.333,0.045,0.712,1.034,1
CAA360631PutativegluteninlikeproteinproductTriticumturgidumsubspdurum,3.71,2.698,0.337,2.023,4.384,3.372,1.349,4.047,0.674,10.117,2.361,1.012,11.129,29.002,2.023,7.756,4.384,7.082,0.337,1.686,0.584,0.002,0.029,0.228,0.094,0.092,0.389,0.205,0.382,0.064,0.339,0.064,0.198,0.039,0.38,0.095,0.242,0.187,0.31,0.095,0.34,0.161,0.302,0.062,0.255,0.143,0.034,0.102,0.158,0.305,1
CAA444731PutativeLMWgluteninTriticumturgidumsubspdurum,3.825,2.781,0.695,1.391,4.172,3.129,1.043,4.868,0.695,7.997,2.086,0.695,11.821,30.944,2.086,9.388,4.172,5.563,0.695,1.043,0.604,0.043,0.012,0.117,0.083,0.12,0.267,0.154,0.3,0.128,0.263,0.088,0.04,0.069,0.367,0.013,0.054,0.225,0.194,0.218,0.291,0.335,0.499,0.153,0.357,0.137,0.046,0.059,0.073,0.287,1
CAA433611AllergenHMWgluteninsubunit1By9Triticumaestivum,3.55,0.994,0.568,2.13,0.426,18.32,1.562,1.42,0.994,4.829,0.568,0.284,9.657,33.09,2.414,6.817,3.55,2.982,0.568,5.397,0.111,0.077,0.001,0.13,0.545,0.039,0.287,0.008,0.073,0.215,1.158,0.15,0.5,0.038,0.755,0.187,0.961,0.181,0.299,0.019,0.058,0.005,0.829,0.094,0.102,0.015,0.77,0.112,0.394,0.14,1
CAA503251AllergenCora1pathogenesisrelatedproteinPR10Betv1likeproteinCorylusavellana,8.566,0.612,4.283,10.402,3.059,9.178,2.448,6.731,9.178,6.731,1.224,4.895,3.059,0.612,2.448,5.507,5.507,8.566,0,4.895,0.985,0.493,0.61,0.009,0.115,0.805,0.51,0.003,0.96,0.059,0.048,0.286,0.618,0.554,0.767,0.203,0.267,0.2,0.081,0.409,0.326,0.417,0.088,0.685,0.073,0.176,0.566,0.215,0.218,0.385,1
CAA503261AllergenCora1pathogenesisrelatedproteinPR10Betv1likeproteinCorylusavellana,7.858,0.604,4.231,9.672,3.022,9.672,1.813,5.44,9.672,6.649,1.813,4.836,3.022,0.604,2.418,6.649,4.836,9.067,0,4.836,1.011,0.614,0.948,0.073,0.051,0.768,0.463,0.062,1.022,0.033,0.076,0.034,0.48,0.412,0.821,0.157,0.415,0.049,0.227,0.499,0.543,0.46,0.054,0.55,0.091,0.217,0.695,0.319,0.216,0.488,1
CAA503271AllergenCora1pathogenesisrelatedproteinPR10Betv1likeproteinCorylusavellana,7.933,0.61,4.272,10.374,3.051,9.154,2.441,6.103,9.154,6.713,1.831,4.882,3.662,0.61,2.441,5.492,4.882,9.154,0,4.882,0.951,0.518,0.644,0.01,0.007,0.805,0.497,0.039,0.951,0.075,0.123,0.296,0.587,0.537,0.686,0.167,0.326,0.195,0.148,0.451,0.325,0.42,0.239,0.718,0.095,0.198,0.528,0.179,0.256,0.379,1
CAA503281AllergenCora1pathogenesisrelatedproteinPR10Betv1likeproteinCorylusavellana,7.911,0.609,4.26,10.345,3.043,9.128,1.826,6.085,9.736,6.694,1.826,4.868,3.651,0.609,2.434,6.085,4.26,9.128,0,4.868,1.019,0.629,0.72,0.125,0.057,0.766,0.435,0.046,0.958,0.013,0.151,0.169,0.554,0.513,0.674,0.174,0.319,0.052,0.191,0.468,0.295,0.46,0.271,0.545,0.102,0.235,0.549,0.26,0.258,0.483,1
CAA236811AllergenOvalbuminlikeproteinGallusgallus,9.196,2.627,4.598,7.225,5.912,4.598,1.971,7.225,4.598,7.882,2.627,5.912,3.941,4.598,4.598,8.539,3.941,6.569,0.657,4.598,0.545,0.113,0.249,0.226,0.038,0.956,0.637,0.982,0.323,0.302,0.36,0.113,0.591,0.511,0.071,0.164,0.337,0.503,0.7,0.29,0.237,0.026,0.152,0.89,0.578,1.047,0.262,0.431,0.596,0.029,1
CAA237111AllergenGald4lysozymeGallusgallus,8.732,6.045,4.702,1.343,2.687,8.732,0.672,4.702,4.03,10.075,2.015,8.732,2.015,2.015,8.06,8.06,4.702,5.373,4.03,2.015,0.013,0.208,0.013,0.096,0.02,0.276,0.231,0,0.496,0.323,0.041,0.1,0.138,0.143,0.101,0.128,0.083,0.254,0.376,0.01,0.046,0.12,0.481,0.085,0.296,0.176,0.809,0.204,0.062,0.307,1
CAA430981AllergenGald5serumalbuminGallusgallus,7.135,5.675,6.648,8.107,5.189,3.892,2.108,5.675,7.783,6.972,3.243,2.757,4.216,5.675,4.54,6.81,3.892,6,0.162,3.243,0.415,0.331,0.089,0.243,0.13,0.081,0.735,0.535,0.045,0.121,0.557,0.055,0.046,0.26,0.293,0.009,0.138,0.188,0.408,0.747,0.051,0.348,0.062,0.317,0.546,0.31,0.089,0.097,0.328,0.333,1
P231101PutativeAlbumin8precursorMethioninerich2SproteinSFA8Helianthusannuus,6.808,5.446,2.042,8.85,1.362,4.085,2.042,5.446,2.723,8.169,12.254,4.765,4.765,5.446,5.446,5.446,4.085,4.085,0.681,2.042,0.192,0.774,0.022,0.59,0.379,0.038,1.012,0.424,0.749,0.009,0.241,0.209,0.067,0.047,0.09,0.401,0.282,0.913,0.646,0.075,0.539,0.163,0.256,0.145,0.505,0.271,0.144,0.427,0.599,0.237,1
P044032AllergenBere12SalbuminconglutinBertholletiaexcelsa,6.722,4.889,0.611,11,1.222,4.889,1.833,1.833,0.611,5.5,13.444,1.833,4.278,7.944,9.777,4.889,3.667,3.055,0,1.222,0.013,0.231,0.374,0.679,0.247,0.226,0.296,0.206,0.622,0.146,0.095,0.226,0.466,0.771,0.791,0.14,0.293,0.526,0.965,0.975,0.609,0.051,0.062,0.217,1.253,0.695,0.605,0.332,0.087,1.124,1
P277591AllergenAmba1pectatelyaseAmbrosiaartemisiifolia,8.133,2.153,6.698,4.306,3.349,9.569,1.675,5.98,4.545,7.176,1.914,5.98,3.827,2.871,4.784,6.698,5.263,6.698,1.675,1.435,0.14,0.293,0.858,0.397,0.088,0.009,0.025,0.208,0.753,0.253,0.291,0.034,0.271,0.11,1.1,0.267,0.153,0.105,0.216,0.005,0.597,0.075,0.024,0.156,0.061,0.139,1.093,0.038,0.075,0.119,1
P277601AllergenAmba1pectatelyaseAmbrosiaartemisiifolia,8.038,2.923,7.063,2.923,3.653,7.794,2.923,6.576,4.871,7.794,2.192,6.576,3.897,3.897,4.628,6.089,5.358,6.333,1.705,1.705,0.211,0.281,0.665,0.68,0.084,0.18,0.147,0.003,0.649,0.014,0.017,0.123,0.125,0.015,0.892,0.165,0.149,0.113,0.494,0.209,0.292,0.125,0.326,0.473,0.146,0.115,0.649,0.056,0.12,0.268,1
P277611AllergenAmba1pectatelyaseAmbrosiaartemisiifolia,8.354,2.703,6.879,2.948,3.44,8.845,1.474,7.125,4.914,7.617,2.211,6.879,3.931,4.177,3.685,6.142,5.651,7.125,1.966,1.474,0.001,0.018,0.708,0.634,0.03,0.037,0.089,0.094,0.686,0.064,0.209,0.074,0.026,0.072,1.021,0.157,0.026,0.356,0.346,0.169,0.498,0.066,0.059,0.676,0.04,0.07,0.814,0.281,0.055,0.136,1
P287441AllergenAmba1pectatelyaseAmbrosiaartemisiifolia,7.699,2.483,6.705,3.974,3.725,9.686,2.235,7.947,3.974,7.45,1.987,5.96,4.222,3.229,4.719,5.96,4.719,6.209,1.987,2.483,0.134,0.167,0.676,0.359,0.039,0.101,0.363,0.009,0.564,0.043,0.057,0.035,0.289,0.087,0.951,0.243,0.227,0.159,0.105,0.089,0.332,0.092,0.054,0.648,0.014,0.216,1.057,0.145,0.048,0.028,1
